ID,Title,Link,Matching Skills,Matching Company Category,Total
1121785, استخدام Senior Front-End Developer (Angular - مشهد),"
                                    https://jobinja.ir/1121785
                                ",2,2,6
977286, استخدام برنامه‌نویس انگولار (Angular-Front-End-مشهد),"
                                    https://jobinja.ir/977286
                                ",1,2,4
